a art.一(个);每一(个)
   practice             n.实践;练习;业务
   practise             vt.练习，实习，训练
   praise               n.赞扬，赞美 vi.赞扬
   pray                 vt.&vi.请求;祈祷
   prayer               n.祈祷，祈求
   precaution           n.预防;警惕
   preceding            a.在前的;在先的
   precious             a.珍贵的，宝贵的
   precise              a.精确的，准确的
   precision            n.精确，精密，精密度
   predict              v.预言，预告，预测
   preface              n.序言，前言，引语
   prefer               vt.宁可，宁愿
   preferable           a.更可取的，更好的
   preference           n.偏爱，优先;优先权
   prejudice            n.偏见，成见
   preliminary          a.预备的，初步的
   premier              n.总理，首相
   preparation          n.准备，预备;制备
   prepare              vt.&vi.准备，预备
   preposition          n.前置词，介词
   prescribe            vt.命令;处(方)
   presence             n.出席，到场;在
   present              a.现在的 n.目前
   present              vt.赠送; 介绍; 提出
   present              n.礼物，赠送物
   presently            ad.一会儿;目前
   preserve             vt.保护;保存;腌渍
   president            n.总统;校长;会长
   press                vt.压，按，揿;催促
   pressure             n.压力;压力;压，按
   pretend              vt.假托，借口vi.假装
   pretty               a.漂亮的，标致的
   prevail              vi.胜，优胜;流行
   prevent              vt.预防，防止;阻止
   previous             a.先的;前的 ad.在前
   previously           ad.先前，预先
   price                n.价格，价钱;代价
   pride                n.骄傲;自豪 vt.自夸
   priest               n.教士，牧师，神父
   primarily            ad.首先;主要地
   primary              a.最初的;基本的
   prime                a.首要的 n.春，青春
   primitive            a.原始的;粗糙的
   prince               n.王子，亲王
   princess             n.公主，王妃
   principal            a.主要的 n.负责人
   principle            n.原则，原理;主义
   print                vt.印刷 n.印刷;正片
   prior                a.在先的;优先的
   prison               n.监狱，监禁
   prisoner             n.囚犯
   private              a.私人的;私下的
   privilege            n.特权，优惠
   prize                n.奖赏，奖金 vt.珍视
   probability          n.可能性;概率
   probable             a.或有的;大概的
   probably             ad.或许，大概
   problem              n.问题;习题，问题
   procedure            n.程序;手续;过程
   proceed              vi.进行;继续进行
   process              n.过程;工序 vt.加工
   procession           n.队伍，行列
   proclaim             vt.宣告，宣布;表明
   produce              vt.生产;产生;展现
   product              n.产品，产物;(乘)积
   production           n.生产;产品;总产量
   productive           a.生产的;丰饶的
   profession           n.职业
   professional         a.职业的 n.专业人员
   professor            n.教授
   profit               n.益处;利润 vi.得益
   program              n.节目单;大纲;程序
   progress             n.前进，进展;进步
   progressive          a.进步的;向前进的
   prohibit             vt.禁止，阻止
   project              n.方案，工程 vi.伸出
   prominent            a.实起的;突出的
   promise              n.诺言;指望 vt.允诺
   promising            a.有希望的;有前途的
   promote              vt.促进，发扬;提升
   prompt               a.及时的 vt.敦促
   pronoun              n.代名词
   pronounce            vt.发…的音;宣布
   pronunciation        n.发音，发音法
   proof                n.证据;证明;校样
   proper               a.适合的;合乎体统的
   properly             ad.适当地;彻底地
   property             n.财产，资产;性质
   proportion           n.比，比率，部分
   proportional         a.比例的;相称的
   proposal             n.提议，建议;求婚
   propose              vt.提议 vi.求婚
   prospect             n.展望;前景，前程
   prosperity           n.繁荣;昌盛，兴旺
   prosperous           a.繁荣的，昌盛的
   protect              vt.保护，保卫，警戒
   protection           n.保护，警戒
   protective           a.保护的，防护的
   protein              n.蛋白质，朊
   protest              vt.&vi.&n.抗议
   proud                a.骄傲的;自豪的
   prove                vt.证明 vi.结果是
   provide              vt.提供;装备，供给
   provided             conj.以…为条件
   province             n.省;领域，部门
   provision            n.供应;预备;存粮
   psychological        a.心理的，心理学的
   public               a.公众的 n.公众
   publication          n.公布;出版;出版物
   publish              vt.公布;发表;出版
   pudding              n.布丁
   puff                 n.(一)喷，(一)吹
   pull                 vt.拉，拖;拉，拉力
   pulse                n.脉搏;脉冲，脉动
   pump                 n.泵 vt.用抽机抽
   punch                vt.冲出 n.冲压机
   punch                vt.用拳猛击 n.拳打
   punctual             a.严守时刻的;准时的
   punish               vt.罚，惩罚，处罚
   punishment           n.罚，惩罚，处罚
   pupil                n.学生，小学生
   pupil                n.瞳孔
   puppet               n.木偶，玩偶;傀儡
   purchase             n.买，购买 vt.买
   pure                 a.纯粹的;纯洁的
   purely               ad.纯粹地，完全地
   purify               vt.使纯净，使洁净
   purity               n.纯净;纯洁;纯度
   purple               n.紫色 a.紫的
   purpose              n.目的;意图;效果
   purse                n.钱包，小钱袋，手袋
   pursue               vt.追赶，追踪;进行
   pursuit              n.追赶;追求;事务
   push                 vt.推，逼迫 vi.推
   put                  vt.放，摆;使处于
   puzzle               n.难题;谜 vi.使迷惑
   qualify              vt.使具有资格
   quality              n.质量;品质，特性
   quantity             n.量，数量，分量
   quarrel              n.争吵，吵架，口角
   quart                n.夸脱(=2品脱)
   quarter              n.四分之一;一刻钟
   quarterly            a.季度的 ad.季度地
   queen                n.王后;女王
   queer                a.奇怪的，古怪的
   question             n.发问;问题;疑问
   queue                n.行列 vi.排队等候
   quick                a.快的;敏捷的
   quicken              vt.加快 vi.加快
   quickly              ad.快，迅速
   quiet                a.寂静的;安静的
   quilt                n.被(子)
   quit                 vt.离开，退出;停止
   quite                ad.完全;相当;的确
   quiz                 n.小型考试，测验
   quotation            n.引用;引文;报价单
   quote                vt.引用，引证;报价

   rabbit               n.兔子，野兔
   race                 n.比赛，竞赛，竞争
   race                 n.人种，种族，民族
   racial               a.种族的，人种的
   rack                 n.搁物架;行李架
   rack                 vt.使苦痛，折磨
   racket               n.球拍
   radar                n.雷达，无线电探测器
   radiate              vi.发射光线;辐射
   radiation            n.放射，发射;辐射能
   radio                n.无线电;收音机
   radioactive          a.放射性的
   radioactivity        n.放射性，放射(现象)
   radish               n.小萝卜
   radium               n.镭
   radius               n.半径
   rag                  n.破布，碎布，抹布
   rage                 n.(一阵)狂怒，盛怒
   raid                 n.袭击;突然搜查
   rail                 n.横条，横杆;铁轨
   railroad             n.铁路 vi.由铁路运输
   railway              n.铁路，铁道
   rain                 n.雨，雨水 vi.下雨
   rainbow              n.虹，彩虹
   rainy                a.下雨的，多雨的
   raise                vt.举起;引起;提高
   rake                 n.耙子 vi.耙;搜索
   range                n.排，行;山脉;范围
   rank                 n.排，横行;社会阶层
   rapid                a.快的 n.急流
   rapidly              ad.迅速地
   rare                 a.稀薄的;稀有的
   rarely               ad.很少，难得
   rat                  n.老鼠，耗子
   rate                 n.比率;速度;价格
   rather               ad.宁可，宁愿;相当
   ratio                n.比，比率
   rational             a.理性的;出于理性的
   raw                  a.未煮过的;未加工的
   ray                  n.光线，射线，辐射线
   razor                n.剃刀
   reach                vt.抵达;伸出vi.达到
   react                vi.起反应;有影响
   reaction             n.反应;反作用
   read                 vt.读，看懂 vi.读
   reader               n.读者;读物，读本
   readily              ad.乐意地;无困难地
   reading              n.读，阅读;读书
   ready                a.准备好的;愿意的
   real                 a.真的;现实的
   reality              n.现实;真实
   realize              vt.实现;认识到
   really               ad.真正地;实在
   realm                n.王国，国土;领域
   reap                 vt.&vi.收割，收获
   rear                 n.后部，后面;背面
   rear                 vt.抚养，培养;栽种
   reason               n.理由;理性 vi.推理
   reasonable           a.合情合理的;公道的
   rebel                vi.造反 n.造反者
   rebellion            n.造反;叛乱;反抗
   recall               vt.回想;叫回;收回
   receipt              n.收到;收条，收据
   receive              vt.收到;得到;接待
   receiver             n.收受者，收件人
   recent               a.新近的，最近的
   recently             ad.最近，新近
   reception            a.接待;招待会;接受
   recite               vt.&vi.背诵，朗诵
   recognition          n.认出，识别;承认
   recognize            vt.认识，认出;承认
   recollect            vt.回忆，追忆，想起
   recommend            vt.推荐，介绍;劝告
   recommendation       n.推荐，介绍;劝告
   record               n.记录;履历 vt.记录
   recorder             n.记录者;录音机
   recover              vt.重新获得;挽回
   recovery             n.重获;痊愈，恢复
   red                  a.红色的 n.红色
   reduce               vt.减少，减小;简化
   reduction            n.减少，减小，缩减
   reed                 n.芦苇，芦杆，芦丛
   reel                 n.卷轴，卷筒
   refer                vt.使求助于 vi.谈到
   reference            n.参考;出处;提及
   refine               vt.&vi.精炼，提纯
   reflect              vt.反射;反映;思考
   reflection           n.反射;映象;反映
   reflexion            n.反射;映象;反映
   reform               vt.&n.改革，改良
   refresh              vt.使清新vi.恢复精神
   refreshment          n.茶点，点心，便餐
   refrigerator         n.冰箱，冷藏库
   refuge               n.避难，庇护;庇护者
   refusal              n.拒绝
   refuse               vt.拒绝 vt.拒绝
   refute               vt.驳斥，反驳，驳倒
   regard               vt.把…看作;尊敬
   regarding            prep.关于
   regardless           ad.不顾一切地
   region               n.地区，地带;领域
   register             n.&vt.登记，注册
   regret               vt.懊悔;抱歉 n.懊悔
   regular              a.规则的;整齐的
   regularly            ad.有规律地
   regulate             vt.管理，控制;调整
   regulation           n.规则，规章;管理
   rehearsal            n.排练，排演;练习
   reign                n.君主统治;支配
   rein                 n.缰绳 vi.驾驭，控制
   reinforce            vt.增援，支援;加强
   reject               vt.拒绝;丢掉;驳回
   rejoice              vi.欣喜，高兴
   relate               vt.叙述;使联系
   relation             n.关系，联系;家属
   relationship         n.关系，联系
   relative             a.有关系的;相对的
   relatively           ad.相对地，比较地
   relativity           n.相关性;相对性
   relax                vt.使松弛 vi.松弛
   release              vt.释放;放松;发表
   relevant             a.有关的，贴切的
   reliability          n.可*性
   reliable             a.可*的，可信赖的
   reliance             n.信任，信赖，信心
   relief               n.减轻;救济;援救
   relieve              vt.减轻，解除;救济
   religion             n.宗教;宗教信仰
   religious            a.宗教的;虔诚的
   reluctant            a.不愿的，勉强的
   rely                 vi.依赖，依*;信赖
   remain               vi.剩下，余留;保持
   remains              n.残余，余额;废墟
   remark               vt.&vi.&n.评论，谈论
   remarkable           a.异常的，非凡的
   remedy               n.&vt.治疗;补救
   remember             vt.记得，想起;记住
   remind               vt.提醒，使想起
   remote               a.相隔很远的;冷淡的
   removal              n.移动;迁移;除掉
   remove               vt.移动，搬开;脱掉
   render               vt.表示，给予;使得
   renew                vt.使更新 vi.更新
   rent                 n.租金，租 vi.出租
   repair               vt.&n.修理，修补
   repeat               vt.重说，重做 n.重复
   repeatedly           ad.重复地;一再
   repent               vi.悔悟，悔改vt.后悔
   repetition           n.重复，反复
   replace              vt.把…放回;取代
   reply                vi.&n.回答，答复
   report               vt.&vi.报告;汇报
   reporter             n.记者，通讯员
   represent            vt.描绘;代表;象征
   representative       a.代表性的 n.代表
   reproach             vt.&n.责备，指责
   reproduce            vt.&vi.繁殖，生殖
   republic             n.共和国，共和政体
   republican           a.共和国的
   reputation           n.名誉，名声;好名声
   request              n.&v.请求，要求
   require              vt.需要;要求，命令
   requirement          n.需要;要求
   rescue               vt.&n.援救，营救
   research             n.&vi.调查，探究
   researcher           n.调查者;探究者
   resemble             vt.像，类似
   reserve              vt.储备，保留;预定
   reservior            n.水库;蓄水池
   residence            n.居住;驻扎;住处
   resident             a.居住的 n.居民
   resign               vt.放弃 vi.辞职
   resignation          n.放弃，辞职，反抗
   resist               vt.&vi.抵抗，抵制
   resistance           n.抵抗;抵制;抵抗力
   resistant            a.抵抗的，反抗的
   resolution           n.坚决，坚定;决定
   resolve              vt.解决;决心 n.决心
   resort               vi.&n.求助，凭借
   resource             n.资源，物力;办法
   respect              n.&vt.尊敬，尊重
   respectful           a.恭敬的，尊重的
   respective           各自的，各个的
   respectively         ad.各自地，分别地
   respond              vi.作答;响应
   response             n.作答，回答;响应
   responsibility       n.责任，责任心;职责
   responsible          a.有责任的;尽责的
   rest                 n.休息;安静;静止
   rest                 n.剩余部分;其余的人
   restaurant           n.餐馆，饭店，菜馆
   restless             a.不安定的，焦虑的
   restore              vt.恢复;归还;修补
   restrain             vt.抑制，遏制;限制
   restraint            n.抑制;遏制;克制
   restrict             vt限制，限定，约束
   restriction          n.限制，限定，约束
   result               n.成果 vi.发生，结果
   resume               vt.恢复;重新开始
   retain               vt.保持，保留，保有
   retell               vt.再讲，重述，复述
   retire               vi.退下;引退;就寝
   retreat              vi.(被迫)退却，后退
   return               vi.&n.回来，返回
   reveal               vt.展现;揭示，揭露
   revenge              vt.替…报仇 n.报仇
   reverse              vt.颠倒，翻转 n.背面
   review               vt.再检查 n.复习
   revise               vt.修订，校订;修改
   revolt               vi.&n.反抗，造反
   revolution           n.革命;旋转，绕转
   revolutionary        a.革命的 n.革命者
   reward               n.报答;报酬 vt.报答
   rhythm               n.韵律，格律;节奏
   rib                  n.肋，肋骨
   ribbon               n.缎带，丝带;带
   rice                 n.稻，米，饭
   rich                 a.富的，丰富的
   rid                  vt.使摆脱，使去掉
   riddle               n.谜，谜语
   ride                 vi.&n.骑马，乘车
   rider                n.骑马的人;乘车的人
   ridge                n.脊;岭，山脉;垄
   ridiculous           a.荒谬的，可笑的
   rifle                n.步枪，来复枪
   right                a.正确的 ad.对，正好
   rigid                a.刚硬的;僵硬的
   ring                 n.环形物(如圈、环等)
   ring                 vi.鸣;按铃 n.铃声
   ripe                 a.熟的;时机成熟的
   ripen                vt.使熟 vi.成熟
   rise                 vi.起立;升起;上涨
   risk                 n.风险，危险，冒险
   rival                n.竞争者 a.竞争的
   river                n.江，河，水道
   road                 n.路，道路，公路
   roar                 vi.吼叫;呼喊 n.吼
   roast                vt.&vi.烤，炙，烘
   rob                  vt.&vi.抢劫;劫掠
   robber               n.强盗，盗贼
   robbery              n.抢劫，劫掠，盗取
   robe                 n.长袍，长衣，浴衣
   robot                n.机器人;自动机
   rock                 vt.摇，使动摇 vi.摇
   rock                 n.岩，岩石;石头
   rocket               n.火箭，火箭发动机
   rod                  n.杆，竿，棒
   role                 n.角色，作用，任务
   roll                 vi.&vt.滚动;转动
   roller               n.滚柱，滚筒，滚轴
   Roman                n.古罗马人 a.罗马的
   romantic             a.浪漫的;传奇的
   roof                 n.屋顶，车顶;顶
   room                 n.房间;地位;余地
   root                 n.根，根子 vi.生根
   rope                 n.绳，索
   rose                 n.蔷薇花，蔷薇科植物
   rot                  vt.烂，腐坏 n.腐烂
   rotary               a.旋转的，转动的
   rotate               vi.旋转 vt.使旋转
   rotation             n.旋转，转动;循环
   rotten               a.腐烂的，发臭的
   rough                a.表面不平的;粗略的
   roughly              ad.粗糙地，粗略地
   round                a.圆的 n.兜圈;一轮
   rouse                vt.唤醒，唤起;惊起
   route                n.路，路线，路程
   routine              n.例行公事 a.日常的
   row                  n.(一)排，(一)行
   row                  vt.划(船等) vi.划船
   royal                a.王的;皇家的
   rub                  vt.摩擦，擦 vi.摩擦
   rubber               n.橡皮(擦子);橡胶
   rubbish              n.垃圾，废物;废话
   rude                 a.加工粗糙的;粗野的
   rug                  n.小地毯;毛毯
   ruin                 n.毁灭;废墟 vt.毁坏
   rule                 n.统治;规定;习惯
   ruler                n.统治者;尺，直尺
   rumour               n.谣言，谣传，传闻
   run                  vi.跑，奔;行驶;流
   runner               n.赛跑的人
   rural                a.农村的，田园的
   rush                 vi.冲，奔 vt.催促
   Russian              a.俄罗斯的 n.俄国人
   rust                 n.锈 vi.生锈，氧化
   rusty                a.生锈的;变迟钝的

   sack                 n.袋，麻袋;开除
   sacred               a.上帝的;神圣的
   sacrifice            n.&vt.牺牲;南祭
   sad                  a.悲哀的，令人悲痛的
   saddle               n.鞍子，马鞍
   sadly                ad.悲痛地，悲哀地
   sadness              n.悲痛，悲哀
   safe                 a.安全的;谨慎的
   safe                 n.保险箱
   safely               ad.安全地;可*地
   safety               n.安全，保险
   sail                 n.帆;船  vi.航行
   sailor               n.水手，海员，水兵
   saint                n.圣徒;基督教徒
   sake                 n.缘故，理由
   salad                n.色拉;莴苣，生菜
   salary               n.薪金，薪水
   sale                 n.卖;拍卖;销售额
   salesman             n.售货员，推销员
   salt                 n.盐;盐类 vt.加盐于
   salute               n.招呼，行礼 vi.行礼
   same                 a.同一的，相同的
   sample               n.样品;实例，标本
   sand                 n.沙，沙子;沙滩
   sandwich             n.三明治 vt.夹入
   sandy                n.沙的，含沙的
   satellite            n.卫星;人造卫星
   satisfaction         n.满意;快事;赔偿
   satisfactory         a.令人满意的，良好的
   satisfy              vt.满足;使满意
   Saturday             n.星期六
   sauce                n.调味汁，酱汁
   saucer               n.茶托，浅碟
   sausage              n.香肠，腊肠
   save                 vt.救;节省;储蓄
   saving               n.搭救;节约;存款
   saw                  n.锯子 vt.锯，锯开
   say                  vt.说;说明;比如说
   scale                n.天平，磅秤，秤
   scale                n.标度;比例;大小
   scan                 vt.细看;浏览;扫描
   scar                 n.伤疤，伤痕;创伤
   scarce               a.缺乏的;希有的
   scarcely             ad.仅仅;几乎不
   scare                vt.惊吓 vi.受惊
   scarf                n.围巾，头巾;领带
   scatter              vt.使消散;撒;散播
   scene                n.发生地点;道具
   scenery              n.舞台布景;风景
   scent                n.气味，香味;香水
   schedule             n.时间表;计划表
   scheme               n.计划，规划;诡计
   scholar              n.学者(尤指文学方面)
   scholarship          n.学业成绩;奖学金
   school               n.学校;学院;学派
   science              n.科学，科学研究
   scientific           a.科学(上)的
   scientist            n.(自然)科学家
   scissors             n.剪刀，剪子
   scold                vi.责骂 vt.申斥
   scope                n.范围;余地，机会
   score                n.得分，比数，成绩
   scorn                n.轻蔑;嘲笑 vt.轻蔑
   scout                n.侦察员，侦察机
   scrape               vt.&vi.&n.刮，擦
   scratch              vt.&vi.&n.搔;抓
   scream               vi.尖叫;呼啸
   screen               n.屏;屏幕 vt.掩蔽
   screw                n.螺旋，螺丝 vt.拧紧
   sea                  n.海，海洋
   seal                 n.封蜡;印记 vt.封
   seal                 n.海豹
   seaman               n.海员，水手;水兵
   seaport              n.海港，港市
   search               vt.在…中搜寻，搜查
   season               n.季，季节，时节
   seat                 n.座;座部 vt.使坐下
   second               num.第二 a.二等的
   second               n.秒
   secondary            a.第二的;次要的
   secondly             ad.第二(点);其次
   secret               a.秘密的;隐蔽的
   secretary            n.秘书;书记;大臣
   section              n.切片;一段;部门
   secure               a.安心的;安全的
   security             n.安全，安全感
   see                  vt.看见;遇见;看出
   seed                 n.种(子)，籽，萌芽
   seek                 vt.寻找，探索;试图
   seem                 vi.好像，似乎
   seize                vt.抓住，逮捕;夺取
   seldom               ad.很少，不常，难得
   select               vt.&vi.选择，挑选
   selection            n.选择，挑选;精选物
   self                 n.自我，自己
   selfish              a.自私的，利己的
   sell                 vt.&vi.卖，销售
   seller               n.卖者;行销货
   semester             n.半年;学期，半学年
   semiconductor        n.半导体
   senate               n.参议院，上院
   send                 vt.送，寄发;派遣
   senior               a.年少的;地位较高的
   sense                n.感官;感觉;见识
   sensible             a.感觉得到的;明智的
   sensitive            a.敏感的;灵敏的
   sentence             n.判决;句子 vt.宣判
   separate             a.分离的;个别的
   separately           ad.分离地
   separation           n.分离，分开;分居
   September            n.九月
   sequence             n.连续，继续;次序
   series               n.连续，系列;丛书
   serious              a.严肃的;认真的
   seriously            ad.严肃地，认真地
   servant              n.仆人，佣人，雇工
   serve                vt.为…服务;招待
   service              n.服务;行政部门
   session              n.会议，一段时间
   set                  vt.放;安置 vi.落
   setting              n.安装，调整;环境
   settle               vt.安排;安放;调停
   settlement           n.解决;殖民，殖民地
   seven                num.七，七个(人或物)
   seventeen            num.十七，十七个
   seventh              num.第七;七分之一
   seventy              num.七十，七十个
   several              a.几个，数个
   severe               a.严格的;严厉的
   severely             ad.严厉地，严格地
   sew                  vt.缝制 vi.缝纫
   ***                  n.性别，性
   shade                n.荫;遮光物 vi.荫蔽
   shadow               n.阴影，阴，影子
   shady                a.成荫的，阴凉的
   shake                vt.摇，使震动 n.摇动
   shall                aux.v.将要;必须;应
   shallow              a.浅的;浅薄的
   shame                n.羞耻，羞愧;羞辱
   shampoo              vt.用洗发剂洗 n.洗头
   shape                n.形状;情况 vt.形成
   share                n.份;份额;股份
   sharp                a.锋利的;敏锐的
   sharpen              vt.削尖，使敏锐
   sharply              ad.锐利地，敏锐地
   shave                vt.剃，刮 vi.修面
   she                  pron.(主格)她
   shear                vt.剪;剥夺 vi.剪
   shed                 vt.流出;散发;脱落
   shed                 n.棚，小屋;贷棚
   sheep                n.羊，绵羊
   sheet                n.被单;纸张;薄板
   shelf                n.搁板，架子
   shell                n.壳;贝壳;炮弹
   shelter              n.隐蔽处;掩蔽，庇护
   shepherd             n.牧羊人，羊倌
   shield               n.盾;防护物 vt.保护
   shift                vt.替换，转移 n.转换
   shilling             n.先令
   shine                vi.照耀，发光 n.光
   ship                 n.(大)船，海船，舰
   shirt                n.(男式)衬衫
   shiver               vi.颤抖，哆嗦 n.冷颤
   shock                n.冲击;震惊 vi.震动
   shoe                 n.鞋
   shoot                vt.发射;射中 n.发芽
   shop                 n.商店，店铺;车间
   shopkeeper           n.店主
   shopping             n.买东西，购物
   shore                n.滨，岸
   short                a.短的;短期的
   shortage             n.不足，缺少，不足额
   shortcoming          n.短处，缺点
   shortly              ad.立刻;简短地
   shot                 n.发射;弹丸;射门
   should               aux.v.将;万一;就
   shoulder             n.肩，肩膀;挑起
   shout                n.&vi.呼喊，喊叫
   show                 vt.给…看;表明
   shower               n.阵雨;(一)阵;淋浴
   shriek               vi.尖声喊叫 n.尖叫声
   shrink               vi.收缩;缩小;退缩
   shut                 vt.关上，闭上，关闭
   shy                  a.易受惊的;害羞的
   sick                 a.有病的;恶心的
   sickness             n.疾病
   side                 n.边，旁边;一方
   sideways             ad.斜着，斜向一边地
   sigh                 n.&vi.叹气，叹息
   sight                n.视力;见;情景
   sightseeing          n.观光，游览
   sign                 n.符号;招牌 n.签名
   signal               n.信号 vi.发信号
   signature            n.署名，签字，签名
   significance         n.意义，意味;重要性
   significant          n.有意义的;重要的
   silence              n.沉默 vt.使沉默
   silent               a.沉默的;寂静无声的
   silk                 n.蚕丝，丝，丝织品
   silly                a.傻的，愚蠢的
   silver               n.银;银子;银器
   similar              a.相似的，类似的
   similarly            ad.类似地，相似地
   simple               a.简单的;朴素的
   simplicity           n.简单，简易;朴素
   simplify             vt.简化，使单纯
   simply               ad.简单地;朴素地
   sin                  n.罪，罪孽 vi.犯罪
   since                conj.从…以来;因为
   sincere              a.真诚的;真挚的
   sing                 vi.&vt.唱，演唱
   singer               n.歌唱家，歌手
   single               a.单一的;独身的
   singular             a.单一的;非凡的
   sink                 vi.下沉;下垂;降低
   sir                  n.先生，阁下;…爵士
   sister               n.姐妹，姐，妹
   sit                  vi.坐，就坐 vt.使坐
   site                 n.地点，地基;场所
   situation            n.位置;处境;形势
   six                  num.六，六个
   sixteen              num.十六，十六个
   sixth                num.第六;六分之一
   sixty                num.六十，六十个
   size                 n.大小;体积;尺码
   skate                n.冰鞋;滑冰 vi.滑冰
   sketch               n.略图;速写;概略
   ski                  n.滑橇 vi.滑雪
   skill                n.技能，技巧;熟练
   skilled              a.有技能的，熟练的
   skillful             a.灵巧的，娴熟的
   skim                 vt.掠过，擦过;略读
   skin                 n.皮;兽皮;外皮
   skirt                n.女裙;边缘;郊区
   sky                  n.天，天空
   slam                 vt.使劲关，砰地放下
   slave                n.奴隶;苦工
   slavery              n.奴隶制度;苦役
   sleep                n.睡眠 vi.睡 vt.睡
   sleepy               a.想睡的;寂静的
   sleeve               n.袖子，袖套
   slender              a.细长的;微薄的
   slice                n.薄片，切片;部分
   slide                vi.滑 vt.使滑动 n.滑
   slight               a.细长的;轻微的
   slightly             ad.稍微，有点
   slip                 vi.滑跤;滑落;溜
   slipper              n.拖鞋，便鞋
   slippery             a.滑的，使人滑跤的
   slit                 n.裂缝 vt.切开，撕开
   slogan               n.标语，口号
   slope                n.倾斜;斜面 vi.倾斜
   slow                 a.慢的;迟钝的
   slowly               ad.慢慢地
   slum                 n.贫民窟，贫民区
   sly                  a.狡猾的;躲躲闪闪的
   small                a.小的，少的;小型的
   smart                a.巧妙的;洒脱的
   smell                n.嗅觉;气味 vt.嗅
   smile                vi.微笑 n.微笑，笑容
   smog                 n.烟雾
   smoke                n.烟;抽烟 vi.冒烟
   smooth               a.平滑的;平静的
   smoothly             ad.光滑地;平稳地
   snake                n.蛇
   snow                 n.雪 vi.下雪
   snowstorm            n.雪暴，暴风雪
   snowy                a.雪的，下雪的
   so                   ad.这样;这么;非常
   soak                 vt.浸，泡 vi.浸泡
   soap                 n.肥皂
   sob                  vi.&n.啜泣，呜咽
   sober                a.清醒的;适度的
   so-called            a.所谓的，号称的
   soccer               n.英式足球
   social               a.社会的;社交的
   socialism            n.社会主义
   socialist            a.社会主义的
   society              n.社会;团体;社交界
   sock                 n.短袜
   soda                 n.碳酸钠，纯碱;汽水
   soft                 a.软的;柔和的
   softly               ad.柔软地;温柔地
   soil                 n.泥土，土壤，土地
   soil                 vt.弄脏 vi.变脏
   solar                a.太阳的，日光的
   soldier              n.(陆军)士兵，军人
   sole                 n.脚底，鞋底，袜底
   sole                 a.单独的，唯一的
   solely               ad.单独地，唯一地
   solemn               a.庄严的;隆重的
   solid                a.固体的 n.固体
   soluble              a.可溶的;可以解决的
   solution             n.解决，解答;溶解
   solve                vt.解答，解释，解决
   some                 a.&pron.一些，若干
   somebody             pron.某人，有人
   somehow              ad.由于某种原因
   someone              pron.某人，有人
   something            pron.某事，某物
   sometime             ad.在某一时候;从前
   sometimes            ad.不时，有时
   somewhat             pron.一点儿 ad.有点
   somewhere            ad.在某处 n.某地
   son                  n.儿子
   song                 n.歌唱;歌曲，歌词
   soon                 ad.不久;早，快
   sophisticated        a.老于世故的;高级的
   sore                 a.痛的;恼火的 n.疮
   sorrow               n.悲痛，悲哀，悲伤
   sorry                a.难过的;对不起的
   sort                 n.种类;类别 vt.整理
   soul                 n.灵魂;精神;人
   sound                a.健康的;完好的
   sound                n.声音 vi.响，发声
   soup                 n.汤
   sour                 a.酸的;脾气坏的
   source               n.河的源头;根源
   south                n.南，南方 a.南方的
   southeast            n.东南 a.位于东南的
   southern             a.南方的，南部的
   southwest            n.西南 a.西南的
   Soviet               n.苏维埃 a.苏维埃的
   sow                  vt.播(种) vi.播种
   space                n.空间;场地;空白
   spacecraft           n.航天器，宇宙飞船
   spaceship            n.航天飞船
   spade                n.铲，铁锹
   span                 n.跨距;一段时间
   Spanish              a.西班牙的n.西班牙人
   spare                vt.节约 a.多余的
   spark                n.火花，火星
   sparkle              vi.发火花 vt.使闪耀
   sparrow              n.麻雀
   speak                vi.说话;发言 vt.说
   speaker              n.说话者;扬声器
   spear                n.矛，枪
   special              a.特殊的;专门的
   specialist           n.专家
   speciality           n.专业，特长;特产
   specialize           vi.成为…专家;专攻
   specially            ad.专门地，特别地
   specific             a.特有的;具体的
   specify              vi.指定，详细说明
   specimen             n.样本，标本，样品
   spectacle            n.光景，景象;眼镜
   speech               n.言语;演说;方言
   speed                n.快;速率 vi.快行
   spell                vt.拼写 vi.拼字
   spelling             n.拼字，拼法，拼写法
   spend                vt.用钱，花费;度过
   sphere               n.球，圆体;范围
   spider               n.蜘蛛
   spill                vt.使溢出 vi.溢出
   spin                 vt.纺;使旋转 n.旋转
   spirit               n.精神;气魄;情绪
   spiritual            a.精神的，心灵的
   spit                 vi.吐 vi.吐唾沫
   splash               vt.&n.溅，泼，飞溅
   splendid             a.壮丽的;显著的
   split                vt.劈开 vi.被劈开
   spoil                vt.损坏，糟蹋;宠坏
   sponge               n.海绵
   sponsor              n.发起者 vt.发起
   spontaneous          a.自发的;本能的
   spoon                n.匙，调羹
   sport                n.运动;运动会
   sportsman            n.运动员
   spot                 n.点，斑点;地点
   spray                n.浪花;喷雾 vt.喷
   spread               vt.伸开;传播 n.传播
   spring               vi.跳，跃 n.跳跃;泉
   spring               n.春天，春季
   springtime           n.春季，春天
   sprinkle             n.洒，撒;小雨
   spur                 n.刺激物 vt.刺激
   spy                  n.间谍，特务 vt.侦察
   square               n.正方形;广场
   squeeze              vt.&vi.榨，挤;压榨
   squirrel             n.松鼠
   stab                 vt.&vi.&n.刺，戳
   stability            n.稳定，稳定性，巩固
   stable               a.稳定的，不变的
   stable               n.厩，马厩，牛棚
   stack                n.堆，垛 vt.堆积
   stadium              n.露天大型运动场
